w1,l1,sw2,sl2,S11max
5.5,6.5,0.2,34,-9.47559785816498
5.5,6.5,0.2,34.5,-9.14180896235001
5.5,6.5,0.2,35,-8.72954227113611
5.5,6.5,0.4,34,-15.6061319011707
5.5,6.5,0.4,34.5,-16.5305703525025
5.5,6.5,0.4,35,-14.7424606533174
5.5,6.5,0.6,34,-11.1644359526109
5.5,6.5,0.6,34.5,-11.6096835761323
5.5,6.5,0.6,35,-12.0960128123004
5.5,7,0.2,34,-9.90117082051265
5.5,7,0.2,34.5,-6.60945670633993
5.5,7,0.2,35,-9.07755375839212
5.5,7,0.4,34,-16.0398249652363
5.5,7,0.4,34.5,-17.0090958954248
5.5,7,0.4,35,-16.6812938667786
5.5,7,0.6,34,-10.9911709629568
5.5,7,0.6,34.5,-11.5133003224686
5.5,7,0.6,35,-11.8123336865147
5.5,7.5,0.2,34,-10.0807726286638
5.5,7.5,0.2,34.5,-9.73787965173259
5.5,7.5,0.2,35,-9.27866809818224
5.5,7.5,0.4,34,-15.3731660324509
5.5,7.5,0.4,34.5,-16.9101412020033
5.5,7.5,0.4,35,-16.3230791712607
5.5,7.5,0.6,34,-10.9228356819567
5.5,7.5,0.6,34.5,-11.4242688929079
5.5,7.5,0.6,35,-11.9037709005303
6,6.5,0.2,34,-10.0626918322272
6,6.5,0.2,34.5,-9.72271227313041
6,6.5,0.2,35,-9.35981967786565
6,6.5,0.4,34,-15.3769423214803
6,6.5,0.4,34.5,-16.8133052429909
6,6.5,0.4,35,-17.3093847927785
6,6.5,0.6,34,-10.4941674669786
6,6.5,0.6,34.5,-11.2915091615213
6,6.5,0.6,35,-11.7724577374209
6,7,0.2,34,-10.5058483741902
6,7,0.2,34.5,-10.1632585154645
6,7,0.2,35,-9.7415982388087
6,7,0.4,34,-16.1480722482764
6,7,0.4,34.5,-16.9773136959212
6,7,0.4,35,-17.606974733962
6,7,0.6,34,-9.86080705710347
6,7,0.6,34.5,-10.9426523192154
6,7,0.6,35,-11.3576049851296
6,7.5,0.2,34,-10.7680246586926
6,7.5,0.2,34.5,-10.4974785657081
6,7.5,0.2,35,-10.0394236669741
6,7.5,0.4,34,-15.5021923631504
6,7.5,0.4,34.5,-17.0393891693015
6,7.5,0.4,35,-18.0835331189336
6,7.5,0.6,34,-9.34603655022539
6,7.5,0.6,34.5,-10.8825681908924
6,7.5,0.6,35,-11.4926796088268
6.5,6.5,0.2,34,-10.7020965226383
6.5,6.5,0.2,34.5,-10.5168209751856
6.5,6.5,0.2,35,-9.9336538341028
6.5,6.5,0.4,34,-15.4627281380768
6.5,6.5,0.4,34.5,-16.6650844790606
6.5,6.5,0.4,35,-16.808576515959
6.5,6.5,0.6,34,-10.3154516656162
6.5,6.5,0.6,34.5,-10.6272960511298
6.5,6.5,0.6,35,-11.1648675384014
6.5,7,0.2,34,-11.2254033212358
6.5,7,0.2,34.5,-10.7328561527729
6.5,7,0.2,35,-9.39343771680554
6.5,7,0.4,34,-15.5462452993551
6.5,7,0.4,34.5,-15.344573015562
6.5,7,0.4,35,-17.623204937191
6.5,7,0.6,34,-10.1728288593017
6.5,7,0.6,34.5,-10.3907837445733
6.5,7,0.6,35,-11.0281756954962
6.5,7.5,0.2,34,-11.4709150115135
6.5,7.5,0.2,34.5,-11.1409575044711
6.5,7.5,0.2,35,-10.5636295255867
6.5,7.5,0.4,34,-14.9680682471751
6.5,7.5,0.4,34.5,-15.9236444397321
6.5,7.5,0.4,35,-16.960767737067
6.5,7.5,0.6,34,-10.1145810394671
6.5,7.5,0.6,34.5,-10.489723528274
6.5,7.5,0.6,35,-11.1362281902127
