lp,la,hc,S11
5.6,5.2,14.5,-1.85627780300322
5.65,5.25,14.575,-1.93320706473141
5.7,5.3,14.65,-2.12050663042826
5.75,5.35,14.725,-2.15284119350783
5.8,5.4,14.8,-2.41026777933721
5.85,5.45,14.875,-2.60354470451315
5.9,5.5,14.95,-2.91928791625379
5.95,5.55,15.025,-3.2054496511961
6,5.6,15.1,-3.71933416351718
6.05,5.65,15.175,-4.27597112945475
6.1,5.7,15.25,-4.98269930772849
6.15,5.75,15.325,-5.77750428180572
6.2,5.8,15.4,-6.45136085710194
6.25,5.85,15.475,-6.20750487501917
6.3,5.9,15.55,-6.14577652704014
